holding_id,portfolio_id,instrument_id,snapshot_date,quantity,market_value_local,local_currency,market_value_chf,weight_pct,asset_class,sub_class,notes
SH-PF19A-010-C,PF-0019A,INS-0049,2026-03-31,15200000,15200000,USD,14136000,13.0,Cash,Cash Deposit,USD cash Mar 31
SH-PF19A-001-D,PF-0019A,INS-0018,2026-06-30,15000000,15000000,USD,13950000,12.6,Fixed Income,Corporate Bond,DP World bond Jun 30
SH-PF19A-002-D,PF-0019A,INS-0019,2026-06-30,500000,8000000,USD,7440000,6.7,Equity,MLP,Energy Transfer Jun 30 — partial recovery
SH-PF19A-003-D,PF-0019A,INS-0020,2026-06-30,1,21500000,USD,19995000,17.9,Alternative,Private Infrastructure,Gulf Energy Fund Jun 30
SH-PF19A-004-D,PF-0019A,INS-0024,2026-06-30,10000000,9000000,USD,8370000,7.5,Structured,Principal At Risk Note,JB Note Jun 30 — recovery
SH-PF19A-005-D,PF-0019A,INS-0021,2026-06-30,50000,19800000,USD,18414000,16.5,Equity,Single Stock,Microsoft Jun 30
SH-PF19A-006-D,PF-0019A,INS-0022,2026-06-30,30000,14900000,USD,13857000,12.4,Equity,Single Stock,Amazon Jun 30
SH-PF19A-007-D,PF-0019A,INS-0023,2026-06-30,20000,5900000,USD,5487000,4.9,Equity,Single Stock,Alphabet Jun 30
SH-PF19A-008-D,PF-0019A,INS-0038,2026-06-30,5000000,5000000,USD,4650000,4.2,Fixed Income,Government Bond,AD sovereign Jun 30
SH-PF19A-009-D,PF-0019A,INS-0039,2026-06-30,5000000,5000000,USD,4650000,4.2,Fixed Income,Sukuk,Aramco sukuk Jun 30
SH-PF19A-010-D,PF-0019A,INS-0049,2026-06-30,12200000,12200000,USD,11346000,10.2,Cash,Cash Deposit,USD cash Jun 30
SH-PF03A-001-A,PF-0003A,INS-0027,2025-12-31,1,30000000,EUR,33000000,54.5,Fixed Income,Government Bond Ladder,EUR ladder Dec 2025
SH-PF03A-002-A,PF-0003A,INS-0036,2025-12-31,1,11000000,EUR,12100000,20.0,Multi-Asset,Fund,JB Conservative MA Dec 2025
SH-PF03A-003-A,PF-0003A,INS-0026,2025-12-31,100000,8000000,EUR,8800000,14.6,Equity,Single Stock,Deutsche Bank Dec 2025
SH-PF03A-004-A,PF-0003A,INS-0050,2025-12-31,4000000,4000000,EUR,4400000,7.3,Cash,Cash Deposit,EUR cash Dec 2025
SH-PF03A-005-A,PF-0003A,INS-0042,2025-12-31,1,2500000,EUR,2750000,4.6,Fixed Income,Fund,EUR Corp Bond Dec 2025
SH-PF03A-001-B,PF-0003A,INS-0027,2026-02-27,1,29500000,EUR,32450000,53.8,Fixed Income,Government Bond Ladder,EUR ladder Feb 27
SH-PF03A-002-B,PF-0003A,INS-0036,2026-02-27,1,11500000,EUR,12650000,21.0,Multi-Asset,Fund,JB Conservative MA Feb 27 — equity portion up
SH-PF03A-003-B,PF-0003A,INS-0026,2026-02-27,100000,9200000,EUR,10120000,16.8,Equity,Single Stock,Deutsche Bank Feb 27 — elevated
SH-PF03A-004-B,PF-0003A,INS-0050,2026-02-27,4000000,4000000,EUR,4400000,7.3,Cash,Cash Deposit,EUR cash Feb 27
SH-PF03A-005-B,PF-0003A,INS-0042,2026-02-27,1,650000,EUR,715000,1.2,Fixed Income,Fund,EUR Corp Bond Feb 27
SH-PF03A-001-C,PF-0003A,INS-0027,2026-03-31,1,29000000,EUR,31900000,53.0,Fixed Income,Government Bond Ladder,EUR ladder Mar 31
SH-PF03A-002-C,PF-0003A,INS-0036,2026-03-31,1,11800000,EUR,12980000,21.6,Multi-Asset,Fund,JB Conservative MA Mar 31
SH-PF03A-003-C,PF-0003A,INS-0026,2026-03-31,100000,9500000,EUR,10450000,17.4,Equity,Single Stock,Deutsche Bank Mar 31 — continued elevation
SH-PF03A-004-C,PF-0003A,INS-0050,2026-03-31,4000000,4000000,EUR,4400000,7.3,Cash,Cash Deposit,EUR cash Mar 31
SH-PF03A-005-C,PF-0003A,INS-0042,2026-03-31,1,280000,EUR,308000,0.5,Fixed Income,Fund,EUR Corp Bond Mar 31
SH-PF03A-001-D,PF-0003A,INS-0027,2026-06-30,1,28000000,EUR,30800000,50.8,Fixed Income,Government Bond Ladder,EUR ladder Jun 30
SH-PF03A-002-D,PF-0003A,INS-0036,2026-06-30,1,12000000,EUR,13200000,21.8,Multi-Asset,Fund,JB Conservative MA Jun 30
SH-PF03A-003-D,PF-0003A,INS-0026,2026-06-30,100000,8500000,EUR,9350000,15.4,Equity,Single Stock,Deutsche Bank Jun 30
SH-PF03A-004-D,PF-0003A,INS-0050,2026-06-30,4000000,4000000,EUR,4400000,7.3,Cash,Cash Deposit,EUR cash Jun 30
SH-PF03A-005-D,PF-0003A,INS-0042,2026-06-30,1,3000000,EUR,3300000,5.5,Fixed Income,Fund,EUR Corp Bond Jun 30
