instrument_id,instrument_name,asset_class,sub_asset_class,sector,region,currency,liquidity_tier,underlying_reference,sustainability_excluded,concentration_limit_applies,price_2025-12-31,price_2026-02-27,price_2026-03-31,price_2026-06-30,price_2026-08-26
SYN-FI-0204,Asia Investment Grade Credit Fund,Fixed Income,Investment Grade Credit,Corporate,Asia,USD,Daily,,N,N,98.6,99.3,95.8,94.6,93.9
SYN-FI-0205,Asia High Yield Bond Fund,Fixed Income,High Yield Credit,Corporate,Asia,USD,Daily,,N,N,88.4,89.6,83.2,82.1,81.0
SYN-FI-0206,Pacific Rim Bank 4.75% Perpetual,Fixed Income,Subordinated Perpetual,Financials,Asia,USD,Weekly,,N,Y,96.8,97.9,89.4,86.2,84.6
SYN-FI-0207,Golden Harbour Properties 5.25% Perpetual,Fixed Income,Subordinated Perpetual,Real Estate,Hong Kong,USD,Weekly,,N,Y,82.4,83.1,68.9,61.2,56.8
SYN-FI-0208,Short Duration USD Bond Fund,Fixed Income,Short Duration,Corporate,Global,USD,Daily,,N,N,101.1,101.5,100.7,101.3,101.7
SYN-FI-0209,EUR Investment Grade Bond Fund,Fixed Income,Investment Grade Credit,Corporate,Europe,EUR,Daily,,N,N,99.8,100.4,95.6,93.8,92.9
SYN-FI-0210,Emerging Market Sovereign Bond Fund,Fixed Income,Emerging Market Debt,Sovereign,Emerging Markets,USD,Daily,,N,N,92.6,93.8,87.4,86.1,85.2
SYN-FI-0211,Singapore Government Securities 2.75% due 2036,Fixed Income,Government Bond,Sovereign,Singapore,SGD,Daily,,N,N,97.4,98.2,94.1,92.6,91.8
SYN-FI-0212,Global Inflation-Linked Bond Fund,Fixed Income,Inflation Linked,Sovereign,Global,USD,Daily,,N,N,96.8,97.4,101.2,102.6,103.4
SYN-AL-0301,Meridian Private Equity Fund VII,Alternatives,Private Equity,Diversified,Global,USD,Illiquid,,N,Y,1420.0,1420.0,1420.0,1462.0,1508.0
SYN-AL-0302,Orchard Private Credit Fund II,Alternatives,Private Credit,Corporate,Global,USD,Quarterly Gate,,N,Y,1082.0,1094.0,1098.0,1041.0,1006.0
SYN-AL-0303,Tanjong Global Macro Fund,Alternatives,Hedge Fund,Macro,Global,USD,Monthly,,N,Y,1860.0,1902.0,2038.0,2094.0,2148.0
SYN-AL-0304,Harborline Long Short Equity Fund,Alternatives,Hedge Fund,Equity Long Short,Global,USD,Monthly,,N,Y,1240.0,1286.0,1218.0,1252.0,1274.0
SYN-AL-0305,Asia Real Estate Opportunity Fund III,Alternatives,Private Real Estate,Real Estate,Asia,SGD,Illiquid,,N,Y,1150.0,1150.0,1122.0,1122.0,1084.0
SYN-AL-0306,Direct Property - Sentosa Cove Residence,Alternatives,Direct Real Estate,Real Estate,Singapore,SGD,Illiquid,,N,Y,8600000.0,8600000.0,8600000.0,8750000.0,8750000.0
SYN-AL-0307,Direct Property - Mid-Levels Apartment,Alternatives,Direct Real Estate,Real Estate,Hong Kong,HKD,Illiquid,,N,Y,42000000.0,42000000.0,42000000.0,40500000.0,40500000.0
SYN-AL-0308,Unlisted Holding - Aranya Technologies Pte Ltd,Alternatives,Private Equity,Information Technology,Singapore,USD,Illiquid,"Series D preference shares, last priced round Sep-2025",N,Y,84.0,84.0,84.0,84.0,84.0
SYN-AL-0309,Global Infrastructure Debt Fund,Alternatives,Private Credit,Infrastructure,Global,USD,Quarterly Gate,,N,Y,104.2,104.8,102.1,100.8,100.2
SYN-CM-0401,Physical Gold Allocated Account,Commodities,Precious Metals,Gold,Global,USD,Daily,"XAU spot, allocated, Singapore vault",N,N,4310.0,5050.0,5240.0,4780.0,4622.6
SYN-CM-0402,Gold Bullion ETF,Commodities,Precious Metals,Gold,Global,USD,Daily,XAU spot,N,N,398.2,466.6,484.2,441.6,427.1
SYN-CM-0403,Broad Commodity Index Fund,Commodities,Diversified Commodities,Diversified,Global,USD,Daily,,Y,N,118.4,121.6,142.8,136.2,141.3
SYN-SP-0501,"Fixed Coupon Note ref. Basket A, 8.50% p.a., 12M",Structured Products,Yield Enhancement,Multi,Global,USD,Illiquid,Worst-of basket: Global Energy Majors ADR / Gulf Marine Services / Helios Cloud Systems,Y,Y,100.0,101.2,107.4,105.8,106.9
SYN-SP-0502,"Equity Linked Note ref. Helios Cloud Systems, 11.00% p.a., 6M",Structured Products,Yield Enhancement,Information Technology,North America,USD,Illiquid,Single underlying: Helios Cloud Systems Inc,N,Y,100.0,102.3,98.6,103.4,104.8
SYN-SP-0503,"Accumulator ref. Golden Harbour Properties Ltd, 12M",Structured Products,Accumulator,Real Estate,Hong Kong,HKD,Illiquid,"Daily accumulation at strike HKD 17.20, knock-out HKD 19.80, double-up below strike",N,Y,100.0,98.2,76.4,64.8,58.3
SYN-SP-0504,"Capital Protected Note ref. Gold, 24M",Structured Products,Capital Protected,Gold,Global,USD,Illiquid,"Underlying: XAU spot, 100% capital protection at maturity, 70% participation",N,Y,100.0,108.6,111.2,104.3,102.1
SYN-SP-0505,"Fixed Coupon Note ref. Basket C, 9.20% p.a., 12M",Structured Products,Yield Enhancement,Multi,Asia,HKD,Illiquid,Worst-of basket: Pacific Orient Shipping / Global Energy Majors ADR / Bara Nusantara Energy,Y,Y,100.0,101.6,108.9,106.4,108.2
SYN-SP-0506,"Autocallable ref. Asia Banks Basket, 7.80% p.a.",Structured Products,Yield Enhancement,,Asia,USD,Illiquid,"Worst-of basket: three Asian banking majors, autocall observation quarterly",N,Y,100.0,101.4,96.2,98.8,99.6
SYN-CA-0601,USD Call Deposit,Cash and Equivalents,Deposit,Cash,Global,USD,Daily,,N,N,1.0,1.0,1.0,1.0,1.0
SYN-CA-0602,SGD Fixed Deposit 3M,Cash and Equivalents,Deposit,Cash,Singapore,SGD,Monthly,,N,N,1.0,1.0,1.0,1.0,1.0
SYN-CA-0603,HKD Call Deposit,Cash and Equivalents,Deposit,Cash,Hong Kong,HKD,Daily,,N,N,1.0,1.0,1.0,1.0,1.0
SYN-CA-0604,EUR Call Deposit,Cash and Equivalents,Deposit,Cash,Europe,EUR,Daily,,N,N,1.0,1.0,1.0,1.0,1.0
SYN-CA-0605,CHF Call Deposit,Cash and Equivalents,Deposit,Cash,Europe,CHF,Daily,,N,N,1.0,1.0,1.0,1.0,1.0
SYN-CA-0606,JPY Call Deposit,Cash and Equivalents,Deposit,Cash,Japan,JPY,Daily,,N,N,1.0,1.0,1.0,1.0,1.0
SYN-CA-0607,USD Money Market Fund,Cash and Equivalents,Money Market,Cash,Global,USD,Daily,,N,N,102.8,103.4,104.0,104.7,105.2
