snapshot_date,portfolio_id,client_id,instrument_id,instrument_name,asset_class,sub_asset_class,sector,region,instrument_ccy,quantity,price_local,market_value_local,portfolio_ccy,market_value_base,market_value_usd,weight_pct,avg_cost_local,cost_basis_base,unrealised_pnl_base,unrealised_pnl_pct,lending_value_base,advance_rate_pct,liquidity_tier,valuation_date,acquired_date
2026-02-27,PF-0001,CL-0001,SYN-EQ-0003,US Technology Leaders Fund,Equity,Developed Market Equity,Information Technology,North America,USD,4000,556.4,2225600.0,SGD,2915536.0,2225600.0,8.9207,361.2,1863792.0,1051744.0,56.43,1895098.4,65.0,Daily,2026-02-27,2022-06-15
2026-02-27,PF-0001,CL-0001,SYN-FI-0204,Asia Investment Grade Credit Fund,Fixed Income,Investment Grade Credit,Corporate,Asia,USD,45000,99.3,4468500.0,SGD,5853735.0,4468500.0,17.9106,101.3,5880465.0,-26730.0,-0.45,4390301.25,75.0,Daily,2026-02-27,2020-02-19
2026-02-27,PF-0001,CL-0001,SYN-FI-0208,Short Duration USD Bond Fund,Fixed Income,Short Duration,Corporate,Global,USD,25000,101.5,2537500.0,SGD,3324125.0,2537500.0,10.1708,99.8,3218550.0,105575.0,3.28,2825506.25,85.0,Daily,2026-02-27,2023-01-11
2026-02-27,PF-0001,CL-0001,SYN-AL-0303,Tanjong Global Macro Fund,Alternatives,Hedge Fund,Macro,Global,USD,900,1902.0,1711800.0,SGD,2242458.0,1711800.0,6.8612,1512.0,1755432.0,487026.0,27.74,672737.4,30.0,Monthly,2026-02-27,2021-10-01
2026-02-27,PF-0001,CL-0001,SYN-CM-0402,Gold Bullion ETF,Commodities,Precious Metals,Gold,Global,USD,4000,466.6,1866400.0,SGD,2444984.0,1866400.0,7.4809,214.6,1107336.0,1337648.0,120.8,1466990.4,60.0,Daily,2026-02-27,2023-05-22
2026-02-27,PF-0001,CL-0001,SYN-CA-0602,SGD Fixed Deposit 3M,Cash and Equivalents,Deposit,Cash,Singapore,SGD,1800000,1.0,1800000.0,SGD,1800000.0,1374045.8,5.5075,1.0,1800000.0,0.0,0.0,1620000.0,90.0,Monthly,2026-02-27,2019-04-01
2026-03-31,PF-0001,CL-0001,SYN-EQ-0001,Global Developed Equity Index Fund,Equity,Developed Market Equity,Diversified,Global,USD,30000,223.0,6690000.0,SGD,8931150.0,6690000.0,27.2237,172.0,6656400.0,2274750.0,34.17,5805247.5,65.0,Daily,2026-03-31,2019-04-08
2026-03-31,PF-0001,CL-0001,SYN-EQ-0020,Asia ex-Japan Equity Fund,Equity,Emerging Market Equity,Diversified,Asia ex-Japan,USD,40000,94.5,3780000.0,SGD,5046300.0,3780000.0,15.382,81.4,4200240.0,846060.0,20.14,3027780.0,60.0,Daily,2026-03-31,2019-04-08
2026-03-31,PF-0001,CL-0001,SYN-EQ-0003,US Technology Leaders Fund,Equity,Developed Market Equity,Information Technology,North America,USD,4000,539.1,2156400.0,SGD,2878794.0,2156400.0,8.7751,361.2,1863792.0,1015002.0,54.46,1871216.1,65.0,Daily,2026-03-31,2022-06-15
2026-03-31,PF-0001,CL-0001,SYN-FI-0204,Asia Investment Grade Credit Fund,Fixed Income,Investment Grade Credit,Corporate,Asia,USD,45000,95.8,4311000.0,SGD,5755185.0,4311000.0,17.5428,101.3,5880465.0,-125280.0,-2.13,4316388.75,75.0,Daily,2026-03-31,2020-02-19
2026-03-31,PF-0001,CL-0001,SYN-FI-0208,Short Duration USD Bond Fund,Fixed Income,Short Duration,Corporate,Global,USD,25000,100.7,2517500.0,SGD,3360862.5,2517500.0,10.2445,99.8,3218550.0,142312.5,4.42,2856733.12,85.0,Daily,2026-03-31,2023-01-11
2026-03-31,PF-0001,CL-0001,SYN-AL-0303,Tanjong Global Macro Fund,Alternatives,Hedge Fund,Macro,Global,USD,900,2038.0,1834200.0,SGD,2448657.0,1834200.0,7.4639,1512.0,1755432.0,693225.0,39.49,734597.1,30.0,Monthly,2026-03-31,2021-10-01
2026-03-31,PF-0001,CL-0001,SYN-CM-0402,Gold Bullion ETF,Commodities,Precious Metals,Gold,Global,USD,4000,484.2,1936800.0,SGD,2585628.0,1936800.0,7.8814,214.6,1107336.0,1478292.0,133.5,1551376.8,60.0,Daily,2026-03-31,2023-05-22
2026-03-31,PF-0001,CL-0001,SYN-CA-0602,SGD Fixed Deposit 3M,Cash and Equivalents,Deposit,Cash,Singapore,SGD,1800000,1.0,1800000.0,SGD,1800000.0,1348314.61,5.4867,1.0,1800000.0,-0.0,-0.0,1620000.0,90.0,Monthly,2026-03-31,2019-04-01
2026-06-30,PF-0001,CL-0001,SYN-EQ-0001,Global Developed Equity Index Fund,Equity,Developed Market Equity,Diversified,Global,USD,30000,234.2,7026000.0,SGD,9449970.0,7026000.0,26.37,172.0,6656400.0,2793570.0,41.97,6142480.5,65.0,Daily,2026-06-30,2019-04-08
2026-06-30,PF-0001,CL-0001,SYN-EQ-0020,Asia ex-Japan Equity Fund,Equity,Emerging Market Equity,Diversified,Asia ex-Japan,USD,40000,97.8,3912000.0,SGD,5261640.0,3912000.0,14.6825,81.4,4200240.0,1061400.0,25.27,3156984.0,60.0,Daily,2026-06-30,2019-04-08
2026-06-30,PF-0001,CL-0001,SYN-EQ-0003,US Technology Leaders Fund,Equity,Developed Market Equity,Information Technology,North America,USD,4000,573.6,2294400.0,SGD,3085968.0,2294400.0,8.6113,361.2,1863792.0,1222176.0,65.57,2005879.2,65.0,Daily,2026-06-30,2022-06-15
2026-06-30,PF-0001,CL-0001,SYN-FI-0204,Asia Investment Grade Credit Fund,Fixed Income,Investment Grade Credit,Corporate,Asia,USD,45000,94.6,4257000.0,SGD,5725665.0,4257000.0,15.9774,101.3,5880465.0,-154800.0,-2.63,4294248.75,75.0,Daily,2026-06-30,2020-02-19
2026-06-30,PF-0001,CL-0001,SYN-FI-0208,Short Duration USD Bond Fund,Fixed Income,Short Duration,Corporate,Global,USD,25000,101.3,2532500.0,SGD,3406212.5,2532500.0,9.505,99.8,3218550.0,187662.5,5.83,2895280.62,85.0,Daily,2026-06-30,2023-01-11
2026-06-30,PF-0001,CL-0001,SYN-AL-0303,Tanjong Global Macro Fund,Alternatives,Hedge Fund,Macro,Global,USD,900,2094.0,1884600.0,SGD,2534787.0,1884600.0,7.0733,1512.0,1755432.0,779355.0,44.4,760436.1,30.0,Monthly,2026-06-30,2021-10-01
2026-06-30,PF-0001,CL-0001,SYN-CM-0402,Gold Bullion ETF,Commodities,Precious Metals,Gold,Global,USD,4000,441.6,1766400.0,SGD,2375808.0,1766400.0,6.6297,214.6,1107336.0,1268472.0,114.55,1425484.8,60.0,Daily,2026-06-30,2023-05-22
2026-06-30,PF-0001,CL-0001,SYN-SP-0505,"Fixed Coupon Note ref. Basket C, 9.20% p.a., 12M",Structured Products,Yield Enhancement,Multi,Asia,HKD,120000,106.4,12768000.0,SGD,2196030.69,1632736.57,6.128,100.0,2063938.62,132092.07,6.4,658809.21,30.0,Illiquid,2026-06-30,2026-04-15
2026-06-30,PF-0001,CL-0001,SYN-CA-0602,SGD Fixed Deposit 3M,Cash and Equivalents,Deposit,Cash,Singapore,SGD,1800000,1.0,1800000.0,SGD,1800000.0,1338289.96,5.0229,1.0,1800000.0,0.0,0.0,1620000.0,90.0,Monthly,2026-06-30,2019-04-01
2026-08-26,PF-0001,CL-0001,SYN-EQ-0001,Global Developed Equity Index Fund,Equity,Developed Market Equity,Diversified,Global,USD,30000,238.0,7140000.0,SGD,9653280.0,7140000.0,26.5587,172.0,6656400.0,2996880.0,45.02,6274632.0,65.0,Daily,2026-08-26,2019-04-08
2026-08-26,PF-0001,CL-0001,SYN-EQ-0020,Asia ex-Japan Equity Fund,Equity,Emerging Market Equity,Diversified,Asia ex-Japan,USD,40000,99.3,3972000.0,SGD,5370144.0,3972000.0,14.7747,81.4,4200240.0,1169904.0,27.85,3222086.4,60.0,Daily,2026-08-26,2019-04-08
2026-08-26,PF-0001,CL-0001,SYN-EQ-0003,US Technology Leaders Fund,Equity,Developed Market Equity,Information Technology,North America,USD,4000,592.1,2368400.0,SGD,3202076.8,2368400.0,8.8098,361.2,1863792.0,1338284.8,71.8,2081349.92,65.0,Daily,2026-08-26,2022-06-15
2026-08-26,PF-0001,CL-0001,SYN-FI-0204,Asia Investment Grade Credit Fund,Fixed Income,Investment Grade Credit,Corporate,Asia,USD,45000,93.9,4225500.0,SGD,5712876.0,4225500.0,15.7176,101.3,5880465.0,-167589.0,-2.85,4284657.0,75.0,Daily,2026-08-26,2020-02-19
2026-08-26,PF-0001,CL-0001,SYN-FI-0208,Short Duration USD Bond Fund,Fixed Income,Short Duration,Corporate,Global,USD,25000,101.7,2542500.0,SGD,3437460.0,2542500.0,9.4574,99.8,3218550.0,218910.0,6.8,2921841.0,85.0,Daily,2026-08-26,2023-01-11
2026-08-26,PF-0001,CL-0001,SYN-AL-0303,Tanjong Global Macro Fund,Alternatives,Hedge Fund,Macro,Global,USD,900,2148.0,1933200.0,SGD,2613686.4,1933200.0,7.1909,1512.0,1755432.0,858254.4,48.89,784105.92,30.0,Monthly,2026-08-26,2021-10-01
2026-08-26,PF-0001,CL-0001,SYN-CM-0402,Gold Bullion ETF,Commodities,Precious Metals,Gold,Global,USD,4000,427.1,1708400.0,SGD,2309756.8,1708400.0,6.3547,214.6,1107336.0,1202420.8,108.59,1385854.08,60.0,Daily,2026-08-26,2023-05-22
2026-08-26,PF-0001,CL-0001,SYN-SP-0505,"Fixed Coupon Note ref. Basket C, 9.20% p.a., 12M",Structured Products,Yield Enhancement,Multi,Asia,HKD,120000,108.2,12984000.0,SGD,2247678.36,1662483.99,6.184,100.0,2063938.62,183739.74,8.9,674303.51,30.0,Illiquid,2026-08-26,2026-04-15
2026-08-26,PF-0001,CL-0001,SYN-CA-0602,SGD Fixed Deposit 3M,Cash and Equivalents,Deposit,Cash,Singapore,SGD,1800000,1.0,1800000.0,SGD,1800000.0,1331360.95,4.9523,1.0,1800000.0,0.0,0.0,1620000.0,90.0,Monthly,2026-08-26,2019-04-01
2025-12-31,PF-0002,CL-0001,SYN-ST-0101,Bara Nusantara Energy Tbk,Equity,Single Stock,Energy,Indonesia,IDR,29000000,8450.0,245050000000.0,SGD,19453200.0,15080000.0,97.416,4180.0,9623003.08,9830196.92,102.15,9726600.0,50.0,Daily,2025-12-31,2016-11-30
2025-12-31,PF-0002,CL-0001,SYN-CA-0601,USD Call Deposit,Cash and Equivalents,Deposit,Cash,Global,USD,400000,1.0,400000.0,SGD,516000.0,400000.0,2.584,1.0,516000.0,0.0,0.0,464400.0,90.0,Daily,2025-12-31,2019-04-01
2026-02-27,PF-0002,CL-0001,SYN-ST-0101,Bara Nusantara Energy Tbk,Equity,Single Stock,Energy,Indonesia,IDR,29000000,8720.0,252880000000.0,SGD,20199560.98,15419512.2,97.4715,4180.0,9623003.08,10576557.9,109.91,10099780.49,50.0,Daily,2026-02-27,2016-11-30
2026-02-27,PF-0002,CL-0001,SYN-CA-0601,USD Call Deposit,Cash and Equivalents,Deposit,Cash,Global,USD,400000,1.0,400000.0,SGD,524000.0,400000.0,2.5285,1.0,516000.0,8000.0,1.55,471600.0,90.0,Daily,2026-02-27,2019-04-01
2026-03-31,PF-0002,CL-0001,SYN-ST-0101,Bara Nusantara Energy Tbk,Equity,Single Stock,Energy,Indonesia,IDR,29000000,11480.0,332920000000.0,SGD,26221132.74,19641297.94,98.0041,4180.0,9623003.08,16598129.67,172.48,13110566.37,50.0,Daily,2026-03-31,2016-11-30
2026-03-31,PF-0002,CL-0001,SYN-CA-0601,USD Call Deposit,Cash and Equivalents,Deposit,Cash,Global,USD,400000,1.0,400000.0,SGD,534000.0,400000.0,1.9959,1.0,516000.0,18000.0,3.49,480600.0,90.0,Daily,2026-03-31,2019-04-01
2026-06-30,PF-0002,CL-0001,SYN-ST-0101,Bara Nusantara Energy Tbk,Equity,Single Stock,Energy,Indonesia,IDR,29000000,10920.0,316680000000.0,SGD,24763639.53,18411627.91,97.8737,4180.0,9623003.08,15140636.46,157.34,12381819.77,50.0,Daily,2026-06-30,2016-11-30
2026-06-30,PF-0002,CL-0001,SYN-CA-0601,USD Call Deposit,Cash and Equivalents,Deposit,Cash,Global,USD,400000,1.0,400000.0,SGD,538000.0,400000.0,2.1263,1.0,516000.0,22000.0,4.26,484200.0,90.0,Daily,2026-06-30,2019-04-01
2026-08-26,PF-0002,CL-0001,SYN-ST-0101,Bara Nusantara Energy Tbk,Equity,Single Stock,Energy,Indonesia,IDR,29000000,11340.0,328860000000.0,SGD,26077344.28,19287976.54,97.9683,4180.0,9623003.08,16454341.2,170.99,13038672.14,50.0,Daily,2026-08-26,2016-11-30
2026-08-26,PF-0002,CL-0001,SYN-CA-0601,USD Call Deposit,Cash and Equivalents,Deposit,Cash,Global,USD,400000,1.0,400000.0,SGD,540800.0,400000.0,2.0317,1.0,516000.0,24800.0,4.81,486720.0,90.0,Daily,2026-08-26,2019-04-01
2025-12-31,PF-0003,CL-0002,SYN-EQ-0003,US Technology Leaders Fund,Equity,Developed Market Equity,Information Technology,North America,USD,6000,512.8,3076800.0,USD,3076800.0,3076800.0,25.9066,402.1,2412600.0,664200.0,27.53,1999920.0,65.0,Daily,2025-12-31,2021-09-20
2025-12-31,PF-0003,CL-0002,SYN-ST-0102,Meridian Semiconductor Corp,Equity,Single Stock,Information Technology,North America,USD,4500,428.6,1928700.0,USD,1928700.0,1928700.0,16.2396,268.4,1207800.0,720900.0,59.69,964350.0,50.0,Daily,2025-12-31,2022-11-08
2025-12-31,PF-0003,CL-0002,SYN-ST-0103,Helios Cloud Systems Inc,Equity,Single Stock,Information Technology,North America,USD,8000,218.4,1747200.0,USD,1747200.0,1747200.0,14.7114,141.2,1129600.0,617600.0,54.67,873600.0,50.0,Daily,2025-12-31,2021-09-20
2025-12-31,PF-0003,CL-0002,SYN-EQ-0022,India Equity Fund,Equity,Emerging Market Equity,Diversified,South Asia,USD,18000,88.9,1600200.0,USD,1600200.0,1600200.0,13.4737,66.3,1193400.0,406800.0,34.09,960120.0,60.0,Daily,2025-12-31,2022-03-14
2025-12-31,PF-0003,CL-0002,SYN-EQ-0001,Global Developed Equity Index Fund,Equity,Developed Market Equity,Diversified,Global,USD,6000,218.4,1310400.0,USD,1310400.0,1310400.0,11.0336,186.5,1119000.0,191400.0,17.1,851760.0,65.0,Daily,2025-12-31,2021-09-20
2025-12-31,PF-0003,CL-0002,SYN-FI-0208,Short Duration USD Bond Fund,Fixed Income,Short Duration,Corporate,Global,USD,12000,101.1,1213200.0,USD,1213200.0,1213200.0,10.2151,100.4,1204800.0,8400.0,0.7,1031220.0,85.0,Daily,2025-12-31,2024-02-05
2025-12-31,PF-0003,CL-0002,SYN-CA-0601,USD Call Deposit,Cash and Equivalents,Deposit,Cash,Global,USD,1000000,1.0,1000000.0,USD,1000000.0,1000000.0,8.42,1.0,1000000.0,0.0,0.0,900000.0,90.0,Daily,2025-12-31,2021-09-01
2026-02-27,PF-0003,CL-0002,SYN-EQ-0003,US Technology Leaders Fund,Equity,Developed Market Equity,Information Technology,North America,USD,6000,556.4,3338400.0,USD,3338400.0,3338400.0,26.3216,402.1,2412600.0,925800.0,38.37,2169960.0,65.0,Daily,2026-02-27,2021-09-20
2026-02-27,PF-0003,CL-0002,SYN-ST-0102,Meridian Semiconductor Corp,Equity,Single Stock,Information Technology,North America,USD,4500,486.2,2187900.0,USD,2187900.0,2187900.0,17.2505,268.4,1207800.0,980100.0,81.15,1093950.0,50.0,Daily,2026-02-27,2022-11-08
2026-02-27,PF-0003,CL-0002,SYN-ST-0103,Helios Cloud Systems Inc,Equity,Single Stock,Information Technology,North America,USD,8000,241.6,1932800.0,USD,1932800.0,1932800.0,15.2392,141.2,1129600.0,803200.0,71.1,966400.0,50.0,Daily,2026-02-27,2021-09-20
2026-02-27,PF-0003,CL-0002,SYN-EQ-0022,India Equity Fund,Equity,Emerging Market Equity,Diversified,South Asia,USD,18000,91.3,1643400.0,USD,1643400.0,1643400.0,12.9574,66.3,1193400.0,450000.0,37.71,986040.0,60.0,Daily,2026-02-27,2022-03-14
2026-02-27,PF-0003,CL-0002,SYN-EQ-0001,Global Developed Equity Index Fund,Equity,Developed Market Equity,Diversified,Global,USD,6000,227.1,1362600.0,USD,1362600.0,1362600.0,10.7434,186.5,1119000.0,243600.0,21.77,885690.0,65.0,Daily,2026-02-27,2021-09-20
2026-02-27,PF-0003,CL-0002,SYN-FI-0208,Short Duration USD Bond Fund,Fixed Income,Short Duration,Corporate,Global,USD,12000,101.5,1218000.0,USD,1218000.0,1218000.0,9.6033,100.4,1204800.0,13200.0,1.1,1035300.0,85.0,Daily,2026-02-27,2024-02-05
2026-02-27,PF-0003,CL-0002,SYN-CA-0601,USD Call Deposit,Cash and Equivalents,Deposit,Cash,Global,USD,1000000,1.0,1000000.0,USD,1000000.0,1000000.0,7.8845,1.0,1000000.0,0.0,0.0,900000.0,90.0,Daily,2026-02-27,2021-09-01
2026-03-31,PF-0003,CL-0002,SYN-EQ-0003,US Technology Leaders Fund,Equity,Developed Market Equity,Information Technology,North America,USD,6000,539.1,3234600.0,USD,3234600.0,3234600.0,26.4447,402.1,2412600.0,822000.0,34.07,2102490.0,65.0,Daily,2026-03-31,2021-09-20
2026-03-31,PF-0003,CL-0002,SYN-ST-0102,Meridian Semiconductor Corp,Equity,Single Stock,Information Technology,North America,USD,4500,452.3,2035350.0,USD,2035350.0,2035350.0,16.6402,268.4,1207800.0,827550.0,68.52,1017675.0,50.0,Daily,2026-03-31,2022-11-08
2026-03-31,PF-0003,CL-0002,SYN-ST-0103,Helios Cloud Systems Inc,Equity,Single Stock,Information Technology,North America,USD,8000,229.8,1838400.0,USD,1838400.0,1838400.0,15.03,141.2,1129600.0,708800.0,62.75,919200.0,50.0,Daily,2026-03-31,2021-09-20
2026-03-31,PF-0003,CL-0002,SYN-EQ-0022,India Equity Fund,Equity,Emerging Market Equity,Diversified,South Asia,USD,18000,87.6,1576800.0,USD,1576800.0,1576800.0,12.8913,66.3,1193400.0,383400.0,32.13,946080.0,60.0,Daily,2026-03-31,2022-03-14
2026-03-31,PF-0003,CL-0002,SYN-EQ-0001,Global Developed Equity Index Fund,Equity,Developed Market Equity,Diversified,Global,USD,6000,223.0,1338000.0,USD,1338000.0,1338000.0,10.9389,186.5,1119000.0,219000.0,19.57,869700.0,65.0,Daily,2026-03-31,2021-09-20
2026-03-31,PF-0003,CL-0002,SYN-FI-0208,Short Duration USD Bond Fund,Fixed Income,Short Duration,Corporate,Global,USD,12000,100.7,1208400.0,USD,1208400.0,1208400.0,9.8794,100.4,1204800.0,3600.0,0.3,1027140.0,85.0,Daily,2026-03-31,2024-02-05
2026-03-31,PF-0003,CL-0002,SYN-CA-0601,USD Call Deposit,Cash and Equivalents,Deposit,Cash,Global,USD,1000000,1.0,1000000.0,USD,1000000.0,1000000.0,8.1756,1.0,1000000.0,0.0,0.0,900000.0,90.0,Daily,2026-03-31,2021-09-01
2026-06-30,PF-0003,CL-0002,SYN-EQ-0003,US Technology Leaders Fund,Equity,Developed Market Equity,Information Technology,North America,USD,6000,573.6,3441600.0,USD,3441600.0,3441600.0,23.9497,402.1,2412600.0,1029000.0,42.65,2237040.0,65.0,Daily,2026-06-30,2021-09-20
2026-06-30,PF-0003,CL-0002,SYN-ST-0102,Meridian Semiconductor Corp,Equity,Single Stock,Information Technology,North America,USD,4500,471.8,2123100.0,USD,2123100.0,2123100.0,14.7744,268.4,1207800.0,915300.0,75.78,1061550.0,50.0,Daily,2026-06-30,2022-11-08
2026-06-30,PF-0003,CL-0002,SYN-ST-0103,Helios Cloud Systems Inc,Equity,Single Stock,Information Technology,North America,USD,8000,246.3,1970400.0,USD,1970400.0,1970400.0,13.7118,141.2,1129600.0,840800.0,74.43,985200.0,50.0,Daily,2026-06-30,2021-09-20
2026-06-30,PF-0003,CL-0002,SYN-EQ-0022,India Equity Fund,Equity,Emerging Market Equity,Diversified,South Asia,USD,18000,92.4,1663200.0,USD,1663200.0,1663200.0,11.574,66.3,1193400.0,469800.0,39.37,997920.0,60.0,Daily,2026-06-30,2022-03-14
2026-06-30,PF-0003,CL-0002,SYN-EQ-0001,Global Developed Equity Index Fund,Equity,Developed Market Equity,Diversified,Global,USD,6000,234.2,1405200.0,USD,1405200.0,1405200.0,9.7786,186.5,1119000.0,286200.0,25.58,913380.0,65.0,Daily,2026-06-30,2021-09-20
2026-06-30,PF-0003,CL-0002,SYN-FI-0208,Short Duration USD Bond Fund,Fixed Income,Short Duration,Corporate,Global,USD,12000,101.3,1215600.0,USD,1215600.0,1215600.0,8.4592,100.4,1204800.0,10800.0,0.9,1033260.0,85.0,Daily,2026-06-30,2024-02-05
2026-06-30,PF-0003,CL-0002,SYN-SP-0502,"Equity Linked Note ref. Helios Cloud Systems, 11.00% p.a., 6M",Structured Products,Yield Enhancement,Information Technology,North America,USD,15000,103.4,1551000.0,USD,1551000.0,1551000.0,10.7932,100.0,1500000.0,51000.0,3.4,465300.0,30.0,Illiquid,2026-06-30,2026-05-20
2026-06-30,PF-0003,CL-0002,SYN-CA-0601,USD Call Deposit,Cash and Equivalents,Deposit,Cash,Global,USD,1000000,1.0,1000000.0,USD,1000000.0,1000000.0,6.9589,1.0,1000000.0,0.0,0.0,900000.0,90.0,Daily,2026-06-30,2021-09-01
2026-08-26,PF-0003,CL-0002,SYN-EQ-0003,US Technology Leaders Fund,Equity,Developed Market Equity,Information Technology,North America,USD,6000,592.1,3552600.0,USD,3552600.0,3552600.0,24.0378,402.1,2412600.0,1140000.0,47.25,2309190.0,65.0,Daily,2026-08-26,2021-09-20
2026-08-26,PF-0003,CL-0002,SYN-ST-0102,Meridian Semiconductor Corp,Equity,Single Stock,Information Technology,North America,USD,4500,498.4,2242800.0,USD,2242800.0,2242800.0,15.1754,268.4,1207800.0,1035000.0,85.69,1121400.0,50.0,Daily,2026-08-26,2022-11-08
2026-08-26,PF-0003,CL-0002,SYN-ST-0103,Helios Cloud Systems Inc,Equity,Single Stock,Information Technology,North America,USD,8000,258.7,2069600.0,USD,2069600.0,2069600.0,14.0035,141.2,1129600.0,940000.0,83.22,1034800.0,50.0,Daily,2026-08-26,2021-09-20
2026-08-26,PF-0003,CL-0002,SYN-EQ-0022,India Equity Fund,Equity,Emerging Market Equity,Diversified,South Asia,USD,18000,94.1,1693800.0,USD,1693800.0,1693800.0,11.4607,66.3,1193400.0,500400.0,41.93,1016280.0,60.0,Daily,2026-08-26,2022-03-14
2026-08-26,PF-0003,CL-0002,SYN-EQ-0001,Global Developed Equity Index Fund,Equity,Developed Market Equity,Diversified,Global,USD,6000,238.0,1428000.0,USD,1428000.0,1428000.0,9.6622,186.5,1119000.0,309000.0,27.61,928200.0,65.0,Daily,2026-08-26,2021-09-20
2026-08-26,PF-0003,CL-0002,SYN-FI-0208,Short Duration USD Bond Fund,Fixed Income,Short Duration,Corporate,Global,USD,12000,101.7,1220400.0,USD,1220400.0,1220400.0,8.2576,100.4,1204800.0,15600.0,1.29,1037340.0,85.0,Daily,2026-08-26,2024-02-05
2026-08-26,PF-0003,CL-0002,SYN-SP-0502,"Equity Linked Note ref. Helios Cloud Systems, 11.00% p.a., 6M",Structured Products,Yield Enhancement,Information Technology,North America,USD,15000,104.8,1572000.0,USD,1572000.0,1572000.0,10.6366,100.0,1500000.0,72000.0,4.8,471600.0,30.0,Illiquid,2026-08-26,2026-05-20
2026-08-26,PF-0003,CL-0002,SYN-CA-0601,USD Call Deposit,Cash and Equivalents,Deposit,Cash,Global,USD,1000000,1.0,1000000.0,USD,1000000.0,1000000.0,6.7663,1.0,1000000.0,0.0,0.0,900000.0,90.0,Daily,2026-08-26,2021-09-01
2025-12-31,PF-0004,CL-0002,SYN-AL-0308,Unlisted Holding - Aranya Technologies Pte Ltd,Alternatives,Private Equity,Information Technology,Singapore,USD,380000,84.0,31920000.0,USD,31920000.0,31920000.0,100.0,18.5,7030000.0,24890000.0,354.05,0.0,0.0,Illiquid,2025-09-30,2016-04-01
2026-02-27,PF-0004,CL-0002,SYN-AL-0308,Unlisted Holding - Aranya Technologies Pte Ltd,Alternatives,Private Equity,Information Technology,Singapore,USD,380000,84.0,31920000.0,USD,31920000.0,31920000.0,100.0,18.5,7030000.0,24890000.0,354.05,0.0,0.0,Illiquid,2025-09-30,2016-04-01
